scenario,trial,num_poses,base_translation_sigma_mm,base_rotation_sigma_deg,success,runtime_ms,nfev,cost,method,camera_name,link_name,translation_error_mm,rotation_error_deg,mean_target_error_mm,max_target_error_mm,mean_target_rotation_error_deg,mean_cross_camera_target_disagreement_mm,max_cross_camera_target_disagreement_mm
gaussian,5,30,0.5,0.25,True,476.7371509997247,112,491.3562195149923,JOINT_HUBER,wrist_camera,gripper,0.4584843986385249,0.03516708148025853,0.6581183859023546,0.8858299931727498,0.03516708148025865,0.6389351292464208,1.3748717743539263
gaussian,6,30,0.5,0.25,True,13.787523999781115,0,0.0,PARK,upper_arm_camera,upper_arm,0.11614726486426212,0.021590271179023793,0.27951199126895293,0.39614444919664166,0.02159027117902339,0.7085811890133282,1.1943889175656417
gaussian,6,30,0.5,0.25,True,13.787523999781115,0,0.0,PARK,forearm_camera,forearm,0.33116054792471616,0.0515796522601862,0.6847282848522405,0.8783988922337407,0.05157965226018506,0.7085811890133282,1.1943889175656417
gaussian,6,30,0.5,0.25,True,13.787523999781115,0,0.0,PARK,wrist_camera,gripper,0.11649265839931301,0.03169571744536048,0.44817698544983553,0.7561007363781762,0.031695717445360726,0.7085811890133282,1.1943889175656417
gaussian,6,30,0.5,0.25,True,20.9262629996374,4,1402.5577704509637,JOINT_LINEAR,upper_arm_camera,upper_arm,0.47393855835303245,0.05601509550625015,0.6502429590323165,1.1157134471714545,0.05601509550625155,1.2276028182825451,2.701927138344951
gaussian,6,30,0.5,0.25,True,20.9262629996374,4,1402.5577704509637,JOINT_LINEAR,forearm_camera,forearm,0.8938592427492218,0.08352202751191992,1.1159930002005585,1.7138404339406912,0.08352202751192025,1.2276028182825451,2.701927138344951
gaussian,6,30,0.5,0.25,True,20.9262629996374,4,1402.5577704509637,JOINT_LINEAR,wrist_camera,gripper,0.32393309704657614,0.0652178481819403,0.7045483151684634,1.2626695272789084,0.06521784818193946,1.2276028182825451,2.701927138344951
gaussian,6,30,0.5,0.25,True,329.3258599996989,78,490.5321557364526,JOINT_HUBER,upper_arm_camera,upper_arm,0.2965387625066462,0.04214305347701285,0.5070462164461876,0.8163475728456152,0.04214305347701442,1.057209888841595,2.1017192053526164
gaussian,6,30,0.5,0.25,True,329.3258599996989,78,490.5321557364526,JOINT_HUBER,forearm_camera,forearm,0.6695490287262282,0.04292579710626828,0.7022204028785588,1.204243876591413,0.042925797106268565,1.057209888841595,2.1017192053526164
gaussian,6,30,0.5,0.25,True,329.3258599996989,78,490.5321557364526,JOINT_HUBER,wrist_camera,gripper,0.1602875126359368,0.07456010693633629,0.9356790988316732,1.5857954511241557,0.07456010693633573,1.057209888841595,2.1017192053526164
gaussian,7,30,0.5,0.25,True,13.7270860004719,0,0.0,PARK,upper_arm_camera,upper_arm,0.24895293370436863,0.046650590245149275,0.5606429922197768,0.6816242358059135,0.04665059024514755,1.0272886067402103,1.9475553219718704
gaussian,7,30,0.5,0.25,True,13.7270860004719,0,0.0,PARK,forearm_camera,forearm,0.336694384369315,0.06687577887684779,0.8407266687194291,1.310238911492692,0.06687577887684815,1.0272886067402103,1.9475553219718704
gaussian,7,30,0.5,0.25,True,13.7270860004719,0,0.0,PARK,wrist_camera,gripper,0.2427017041350944,0.05670439312783865,0.9085729563051901,1.4381858518785124,0.056704393127838155,1.0272886067402103,1.9475553219718704
gaussian,7,30,0.5,0.25,True,21.01480500004982,4,1868.5745322163964,JOINT_LINEAR,upper_arm_camera,upper_arm,1.0648067405309234,0.05616638832278642,1.077655272871097,1.5186763216805022,0.05616638832278709,1.1276220696046106,2.230582053381305
gaussian,7,30,0.5,0.25,True,21.01480500004982,4,1868.5745322163964,JOINT_LINEAR,forearm_camera,forearm,0.3799804124911363,0.06494227273877734,0.8557581005553758,1.4856842444436924,0.06494227273877715,1.1276220696046106,2.230582053381305
gaussian,7,30,0.5,0.25,True,21.01480500004982,4,1868.5745322163964,JOINT_LINEAR,wrist_camera,gripper,0.4892515599876423,0.03314481149443202,0.7226059693532396,0.9602933959153288,0.033144811494432165,1.1276220696046106,2.230582053381305
gaussian,7,30,0.5,0.25,True,395.4754510004932,93,588.1366021613663,JOINT_HUBER,upper_arm_camera,upper_arm,0.6294873531729266,0.051839526194900024,0.6016390625078802,1.221558324085934,0.05183952619489967,0.7870312525561789,1.9353202210905327
gaussian,7,30,0.5,0.25,True,395.4754510004932,93,588.1366021613663,JOINT_HUBER,forearm_camera,forearm,0.12584193688043993,0.053003064617746676,0.6548056272779059,0.9139932036224415,0.05300306461774686,0.7870312525561789,1.9353202210905327
gaussian,7,30,0.5,0.25,True,395.4754510004932,93,588.1366021613663,JOINT_HUBER,wrist_camera,gripper,0.3477798158692735,0.03331896864483853,0.5157872350489611,0.7759365404378686,0.033318968644839166,0.7870312525561789,1.9353202210905327
gaussian,8,30,0.5,0.25,True,13.550486999520217,0,0.0,PARK,upper_arm_camera,upper_arm,0.2255640287114025,0.030044537704696974,0.3953235013369486,0.5962248356208483,0.03004453770469617,0.8093737950225146,1.8645277244497205
gaussian,8,30,0.5,0.25,True,13.550486999520217,0,0.0,PARK,forearm_camera,forearm,0.1783052913238451,0.02758288575423208,0.26887019725668077,0.45079334790873365,0.02758288575423306,0.8093737950225146,1.8645277244497205
gaussian,8,30,0.5,0.25,True,13.550486999520217,0,0.0,PARK,wrist_camera,gripper,0.16697597663851385,0.0693739286614116,0.9048044051292556,1.5615088070521854,0.06937392866141098,0.8093737950225146,1.8645277244497205
gaussian,8,30,0.5,0.25,True,20.61494300050981,4,1737.1840243669499,JOINT_LINEAR,upper_arm_camera,upper_arm,0.06132110491847852,0.0492141353623936,0.4317959928918001,0.6807082864789199,0.0492141353623932,1.0711728181731794,2.216018963111373
gaussian,8,30,0.5,0.25,True,20.61494300050981,4,1737.1840243669499,JOINT_LINEAR,forearm_camera,forearm,0.17137682917769453,0.0968450818783252,0.9871254470762586,1.8422963049988084,0.0968450818783266,1.0711728181731794,2.216018963111373
gaussian,8,30,0.5,0.25,True,20.61494300050981,4,1737.1840243669499,JOINT_LINEAR,wrist_camera,gripper,0.5781154364509106,0.07428594344161753,0.9236550377934931,1.3658186605583167,0.074285943441617,1.0711728181731794,2.216018963111373
gaussian,8,30,0.5,0.25,True,347.3465209999631,83,572.640143670885,JOINT_HUBER,upper_arm_camera,upper_arm,0.14998007837104016,0.05045161673596411,0.6220302895378128,0.8526332979864124,0.050451616735963635,0.9693859056095961,1.8405172443488627
gaussian,8,30,0.5,0.25,True,347.3465209999631,83,572.640143670885,JOINT_HUBER,forearm_camera,forearm,0.4260249349366763,0.06844753602022169,0.7111914317980774,1.2815723848690865,0.06844753602022073,0.9693859056095961,1.8405172443488627
gaussian,8,30,0.5,0.25,True,347.3465209999631,83,572.640143670885,JOINT_HUBER,wrist_camera,gripper,0.3449471470765459,0.05626821326088378,0.6857830760026522,0.9257396016437384,0.05626821326088456,0.9693859056095961,1.8405172443488627
gaussian,9,30,0.5,0.25,True,13.631244999487535,0,0.0,PARK,upper_arm_camera,upper_arm,0.05012215094759051,0.09562495795576804,1.2028078700438922,1.523387851359626,0.0956249579557677,1.110025158705566,1.998564241111942
gaussian,9,30,0.5,0.25,True,13.631244999487535,0,0.0,PARK,forearm_camera,forearm,0.1753954849328084,0.043230003668071615,0.5286909763168774,0.8542542838015095,0.04323000366807244,1.110025158705566,1.998564241111942
gaussian,9,30,0.5,0.25,True,13.631244999487535,0,0.0,PARK,wrist_camera,gripper,0.3806789731669683,0.011479857723615738,0.30687940494390475,0.4569671310649975,0.0114798577236157,1.110025158705566,1.998564241111942
gaussian,9,30,0.5,0.25,True,20.724122000501666,4,1686.3088536163252,JOINT_LINEAR,upper_arm_camera,upper_arm,0.5407277008143566,0.08490069680176658,1.0944410845968806,1.6292957256382858,0.08490069680176651,1.5126540298522204,3.2491529160601886
