trial,num_poses,translation_sigma_mm,rotation_sigma_deg_input,runtime_ms_total,quality,recommendation,num_relative_motions,max_relative_rotation_deg,mean_relative_rotation_deg,translation_baseline_mm,rotation_axis_diversity_ratio,rotation_design_rank,expected_rotation_design_rank,smallest_informative_singular_value,method,camera_name,link_name,translation_error_mm,rotation_error_deg,mean_target_error_mm,max_target_error_mm,mean_target_rotation_error_deg,mean_cross_camera_target_disagreement_mm,max_cross_camera_target_disagreement_mm
16,30,0.5,0.25,13.530320999961987,GOOD,Motion has broad multi-axis rotational excitation; proceed with solver comparison and residual validation.,29,169.5129226710881,113.26445172235432,0.0,0.4772370591169348,8,8,5.456436880813009,PARK,upper_arm_camera,upper_arm,0.2574753654546707,0.0253076405040294,0.3687869065035529,0.45764204633463984,0.025307640504028967,0.7848684534946764,1.4566834854628965
16,30,0.5,0.25,13.530320999961987,GOOD,Motion has broad multi-axis rotational excitation; proceed with solver comparison and residual validation.,29,174.8869689182182,122.10210171028307,679.3456714901813,0.7406076227317576,8,8,6.000446789588922,PARK,forearm_camera,forearm,0.3536600781752004,0.040400689445496185,0.4226837821302582,0.6817827286271971,0.04040068944549401,0.7848684534946764,1.4566834854628965
16,30,0.5,0.25,13.530320999961987,GOOD,Motion has broad multi-axis rotational excitation; proceed with solver comparison and residual validation.,29,179.4451791659386,124.95876166989453,1503.3348142691839,0.796263610430937,8,8,6.7437791338834865,PARK,wrist_camera,gripper,0.2764653861104436,0.043733015263287225,0.7105207489668683,1.2371844918656594,0.043733015263287066,0.7848684534946764,1.4566834854628965
17,30,0.5,0.25,13.461794000249938,GOOD,Motion has broad multi-axis rotational excitation; proceed with solver comparison and residual validation.,29,177.53847090995905,95.57586764848864,0.0,0.40914926822156356,8,8,4.669466962743113,PARK,upper_arm_camera,upper_arm,0.1776337168413777,0.02224688985346783,0.3262529652841688,0.4144738057178497,0.02224688985346795,0.9313313691681517,1.961151016696651
17,30,0.5,0.25,13.461794000249938,GOOD,Motion has broad multi-axis rotational excitation; proceed with solver comparison and residual validation.,29,178.34309010180633,110.07481549648966,679.3826695387606,0.6354957941489067,8,8,6.143947470261322,PARK,forearm_camera,forearm,0.3860909270961466,0.06574262304896927,0.8025163296883923,1.340670513716047,0.06574262304896937,0.9313313691681517,1.961151016696651
17,30,0.5,0.25,13.461794000249938,GOOD,Motion has broad multi-axis rotational excitation; proceed with solver comparison and residual validation.,29,178.84662025230213,127.83019618097606,1491.9840660703237,0.8671454641696632,8,8,6.686003296175031,PARK,wrist_camera,gripper,0.42418382281777045,0.03962089560206178,0.6515123800177095,1.0843381435798063,0.039620895602062084,0.9313313691681517,1.961151016696651
18,30,0.5,0.25,13.555838999309344,GOOD,Motion has broad multi-axis rotational excitation; proceed with solver comparison and residual validation.,29,168.1555063994008,85.67368532527387,0.0,0.45605762377221104,8,8,4.637576359332853,PARK,upper_arm_camera,upper_arm,0.12075299102727638,0.0565127836012378,0.7329325812502084,0.9335738984447538,0.05651278360123726,0.949772865537987,2.0217983776835373
18,30,0.5,0.25,13.555838999309344,GOOD,Motion has broad multi-axis rotational excitation; proceed with solver comparison and residual validation.,29,178.75369359401967,107.38954438748391,679.2626165715787,0.6475614603737657,8,8,6.007573453721482,PARK,forearm_camera,forearm,0.23040451228700762,0.037111289975692734,0.4556371256382677,0.7540890361839133,0.03711128997569253,0.949772865537987,2.0217983776835373
18,30,0.5,0.25,13.555838999309344,GOOD,Motion has broad multi-axis rotational excitation; proceed with solver comparison and residual validation.,29,179.02722950324258,132.7376366796729,1466.5716917968873,0.6375647507964847,8,8,6.807288594870505,PARK,wrist_camera,gripper,0.08752931803759036,0.07552443723513587,0.864996243778363,1.4190959282219695,0.07552443723513638,0.949772865537987,2.0217983776835373
19,30,0.5,0.25,13.489404000210925,GOOD,Motion has broad multi-axis rotational excitation; proceed with solver comparison and residual validation.,29,178.07063341758197,98.42770228135775,0.0,0.4114173407355795,8,8,4.781317923246747,PARK,upper_arm_camera,upper_arm,0.31142195181808824,0.0727280316568487,0.9808684727322305,1.1815335997377603,0.07272803165684853,1.0798164691116774,2.1755025798477874
19,30,0.5,0.25,13.489404000210925,GOOD,Motion has broad multi-axis rotational excitation; proceed with solver comparison and residual validation.,29,179.05485292824798,118.93257546508167,677.1242556968674,0.6988201693229075,8,8,6.289610067854326,PARK,forearm_camera,forearm,0.15896899671863418,0.056662638599978145,0.6186710377378343,1.0975193634855334,0.05666263859997836,1.0798164691116774,2.1755025798477874
19,30,0.5,0.25,13.489404000210925,GOOD,Motion has broad multi-axis rotational excitation; proceed with solver comparison and residual validation.,29,179.1168431369035,123.06061493654815,1493.7782912500459,0.7110067237348526,8,8,6.810298851378374,PARK,wrist_camera,gripper,0.2299912687079338,0.027001942156460155,0.48570363471285477,0.7438182647819491,0.027001942156459926,1.0798164691116774,2.1755025798477874
