noise_level,noise_label,translation_sigma_mm,rotation_sigma_deg_input,trial,num_poses,trajectory_seed,noise_seed,method,success,runtime_ms,error_message,translation_error_mm,rotation_error_deg,mean_target_error_mm,max_target_error_mm,mean_target_rotation_error_deg,max_target_rotation_error_deg
3,moderate,0.5,0.25,3,25,10003,130003,DANIILIDIS,True,8.616617000370752,,0.20728115750985804,0.05831070397167705,0.36948535401063476,0.5810622220255086,0.058310703971678306,0.05831070397168208
3,moderate,0.5,0.25,4,25,10004,130004,TSAI,True,8.307137999508996,,0.2659165488277576,0.0338037465016146,0.26378004363255986,0.40726640517738694,0.0338037465016151,0.03380374650161962
3,moderate,0.5,0.25,4,25,10004,130004,PARK,True,8.974114999546146,,0.4135235085908781,0.03190667987135706,0.3598369255804541,0.5471447065746666,0.031906679871356404,0.03190667987136122
3,moderate,0.5,0.25,4,25,10004,130004,HORAUD,True,8.446730000287062,,0.41465579510645506,0.03212341500603406,0.3507788507181944,0.5623724432124129,0.032123415006034606,0.032123415006039914
3,moderate,0.5,0.25,4,25,10004,130004,ANDREFF,True,9.554979999848001,,0.4346390436492075,0.032447656351178786,0.3596365148563397,0.5834706482869958,0.03244765635117901,0.032447656351184385
3,moderate,0.5,0.25,4,25,10004,130004,DANIILIDIS,True,8.822732999760774,,0.3749796657029623,0.03268684453690723,0.3208959130983835,0.5273026402539439,0.03268684453690763,0.032686844536915054
3,moderate,0.5,0.25,5,25,10005,130005,TSAI,True,8.166857000105665,,0.1856464107205561,0.020136911393641817,0.2122632293332979,0.3011408881805529,0.020136911393642588,0.02013691139364913
3,moderate,0.5,0.25,5,25,10005,130005,PARK,True,9.101935000217054,,0.167183902045674,0.034529053503231925,0.2574319733803222,0.39971827200945187,0.03452905350323237,0.03452905350323948
3,moderate,0.5,0.25,5,25,10005,130005,HORAUD,True,8.507984000061697,,0.16769271303128808,0.031769245680957986,0.24616159033143303,0.37367085144619955,0.03176924568095776,0.03176924568096364
3,moderate,0.5,0.25,5,25,10005,130005,ANDREFF,True,10.002217999499408,,0.1325904090866879,0.03264701870431588,0.22184712176188628,0.36467132289346266,0.03264701870431549,0.032647018704319325
3,moderate,0.5,0.25,5,25,10005,130005,DANIILIDIS,True,8.728085000257124,,0.11702919527921662,0.031112864651346328,0.20455189011374678,0.3428949003298504,0.031112864651347123,0.031112864651351605
3,moderate,0.5,0.25,6,25,10006,130006,TSAI,True,8.349156999429397,,0.36923611858904587,0.09158126414657093,0.7053920016355073,1.3092252016096835,0.09158126414657118,0.09158126414657557
3,moderate,0.5,0.25,6,25,10006,130006,PARK,True,9.069984000234399,,0.3472269189221332,0.060246413645814435,0.4637424842669645,0.7961118945557344,0.060246413645813235,0.06024641364581874
3,moderate,0.5,0.25,6,25,10006,130006,HORAUD,True,8.493786999679287,,0.35007457918104357,0.06438931100087303,0.490792982075362,0.8499952752780119,0.06438931100087338,0.06438931100087761
3,moderate,0.5,0.25,6,25,10006,130006,ANDREFF,True,9.628227000575862,,0.3828845128889092,0.06069996437012373,0.5151762837884566,0.8611648842447712,0.06069996437012311,0.060699964370128826
3,moderate,0.5,0.25,6,25,10006,130006,DANIILIDIS,True,8.786454000073718,,0.34546485484666994,0.0595892565755699,0.4947721644045248,0.8541252165741242,0.05958925657556831,0.059589256575574734
3,moderate,0.5,0.25,7,25,10007,130007,TSAI,True,8.270330000414106,,0.2551408132164829,0.034276556681030745,0.2813144783504091,0.5477092338844624,0.034276556681031245,0.03427655668103518
3,moderate,0.5,0.25,7,25,10007,130007,PARK,True,9.168669000246155,,0.23464886885656686,0.05350407555024396,0.3342430370609354,0.6944236674940639,0.05350407555024408,0.05350407555025106
